year,place,indiaClass
2009,Karnataka,india
1960,Karnataka,india
1991,Karnataka,india
2001,Karnataka,india
1962,Karnataka,india
1990,Karnataka,india
1974,Karnataka,india
1967,Karnataka,india
1968,Karnataka,india
1987,Karnataka,india
2011,Karnataka,india
2001,Karnataka,india
1961,Karnataka,india
1984,Karnataka,india
1968,Karnataka,india
2008,Karnataka,india
1958,Karnataka,india
1988,Karnataka,india
2009,Karnataka,india
1971,Karnataka,india
1970,Karnataka,india
1991,Karnataka,india
1964,Karnataka,india
2009,Karnataka,india
2011,Karnataka,india
2016,Karnataka,india
2017,Karnataka,india
2004,Karnataka,india
2009,Karnataka,india
1957,Karnataka,india
2004,Karnataka,india
2011,Karnataka,india
1965,Karnataka,india
1998,Karnataka,india
1961,Karnataka,india
2010,Karnataka,india
1971,Karnataka,india
2010,Karnataka,india
2006,Karnataka,india
2004,Karnataka,india
2012,Karnataka,india
2016,Karnataka,india
2017,Karnataka,india
2014,Karnataka,india
2010,Karnataka,india
1956,Karnataka,india
2016,Karnataka,india
2017,Karnataka,india
1990,Karnataka,india
2007,Karnataka,india
2005,Karnataka,india
1968,Karnataka,india
1972,Karnataka,india
1975,Karnataka,india
2000,Karnataka,india
1986,Karnataka,india
2012,Karnataka,india
2015,Karnataka,india
2011,Karnataka,india
1992,Karnataka,india
2004,Karnataka,india
2013,Karnataka,india
2003,Karnataka,india
1974,Karnataka,india
1991,Karnataka,india
2005,Karnataka,india
2013,Karnataka,india
2014,Karnataka,india
2001,Karnataka,india
2016,Karnataka,india
2017,Karnataka,india
2014,Karnataka,india
2009,Karnataka,india
2001,Karnataka,india
1973,Karnataka,india
1991,Karnataka,india
2004,Karnataka,india
2005,Karnataka,india
2015,Karnataka,india
2007,Karnataka,india
2005,Karnataka,india
2014,Karnataka,india
2002,Karnataka,india
1982,Karnataka,india
1992,Karnataka,india
2000,Karnataka,india
2006,Karnataka,india
2011,Karnataka,india
2010,Karnataka,india
2014,Karnataka,india
2005,Karnataka,india
2004,Karnataka,india
1998,Karnataka,india
2016,Karnataka,india
2017,Karnataka,india
1977,Karnataka,india
2004,Karnataka,india
2006,Karnataka,india
2005,Karnataka,india
2002,Karnataka,india
2006,Karnataka,india
1984,Karnataka,india
2006,Karnataka,india
2014,Karnataka,india
2002,Karnataka,india
2000,Karnataka,india
1968,Karnataka,india
2015,Karnataka,india
2001,Karnataka,india
1975,Karnataka,india
2003,Karnataka,india
1987,Karnataka,india
2002,Karnataka,india
1987,Karnataka,india
2013,Karnataka,india
2015,Karnataka,india
2015,Karnataka,india
1966,Karnataka,india
1971,Karnataka,india
1981,Karnataka,india
1974,Karnataka,india
1985,Karnataka,india
1998,Karnataka,india
2007,Karnataka,india
2001,Karnataka,india
2004,Karnataka,india
1976,Karnataka,india
2003,Karnataka,india
1998,Karnataka,india
1982,Karnataka,india
2015,Karnataka,india
2016,Karnataka,india
2017,Karnataka,india
2010,Karnataka,india
1965,Karnataka,india
2004,Karnataka,india
2012,Karnataka,india
2011,Karnataka,india
2010,Karnataka,india
2004,Karnataka,india
2006,Karnataka,india
2000,Karnataka,india
2015,Karnataka,india
1968,Karnataka,india
1959,Karnataka,india
1970,Karnataka,india
2000,Karnataka,india
1987,Karnataka,india
1998,Karnataka,india
2016,Karnataka,india
2017,Karnataka,india
1958,Karnataka,india
2006,Karnataka,india
2011,Karnataka,india
1972,Karnataka,india
1969,Karnataka,india
1959,Karnataka,india
1973,Karnataka,india
1991,Karnataka,india
2006,Karnataka,india
1968,Karnataka,india
1961,Karnataka,india
2008,Karnataka,india
1972,Karnataka,india
2016,Karnataka,india
2017,Karnataka,india
2005,Karnataka,india
1972,Karnataka,india
1970,Karnataka,india
1971,Karnataka,india
2014,Karnataka,india
2013,Karnataka,india
2001,Karnataka,india
2001,Karnataka,india
2009,Karnataka,india
2004,Karnataka,india
2013,Karnataka,india
1967,Karnataka,india
1982,Karnataka,india
2005,Karnataka,india
2011,Karnataka,india
1989,Karnataka,india
2008,Karnataka,india
2000,Karnataka,india
1991,Karnataka,india
2011,Karnataka,india
2015,Karnataka,india
2016,Karnataka,india
2017,Karnataka,india
2016,Maharashtra,india
2017,Maharashtra,india
2016,Maharashtra,india
2017,Maharashtra,india
2016,Maharashtra,india
2017,Maharashtra,india
2004,Maharashtra,india
2006,Maharashtra,india
2003,Maharashtra,india
2010,Maharashtra,india
1970,Maharashtra,india
2006,Maharashtra,india
1964,Maharashtra,india
2009,Maharashtra,india
2016,Maharashtra,india
2017,Maharashtra,india
2010,Maharashtra,india
