user,CPU1 Temp,CPU2 Temp,Inlet Temp,Memory usage,Fan1 speed,Fan2 speed,Fan3 speed,Fan4 speed,Power consumption
esowell,37,28,11,17.93,9310,9380,9380,9380,71
esowell,47,36,12,11.82,8540,8470,8540,8540,89
esowell,34,27,10,8.56,9170,9310,9170,9170,65
esowell,34,27,10,10.75,9310,9170,9310,9310,71
esowell,44,37,10,10.14,7630,7700,7700,7700,81.5
esowell,34,25,9,13.05,11970,11970,11830,11970,69
esowell,36,30,11,12.27,8120,8120,8120,8120,68
esowell,36,28,11,8.8,9380,9450,9450,9380,66.5
esowell,44,33,10,23.43,8680,8890,8680,8750,77.5
esowell,37,29,13,11.08,8330,8470,8330,8330,70
esowell,35,28,9,6.4,9170,9170,9310,9170,67
esowell,39,30,9,8.38,9170,9170,9170,9100,65.5
esowell,33,25,13,9.12,10920,10920,10920,10920,68.5
esowell,39,29,9,7.57,8960,8890,8890,8960,70
esowell,36,30,11,7.47,10710,10710,10710,10710,71
esowell,33,27,11,9.78,9450,9450,9450,9450,69.5
esowell,37,30,10,5.64,9450,9310,9450,9170,68.5
esowell,39,29,11,7.49,8120,8120,8050,8120,69
esowell,39,30,11,7.07,8680,8750,8680,8680,67
esowell,39,31,11,6.48,8960,8960,8960,8890,69
esowell,43,35,15,8.41,7070,7210,7210,7210,66.5
esowell,34,28,8,25.88,8540,8540,8680,8540,67.5
esowell,36,29,9,7.48,8540,8540,8680,8540,66.5
esowell,33,28,9,7.06,10290,10290,10290,10220,66.5
esowell,42,32,16,7.26,8890,8750,8890,8890,71
esowell,35,29,9,7.66,9660,9800,9590,9800,70.5
esowell,36,27,10,10.6,8260,8260,8260,8120,67
esowell,36,32,15,51.55,8750,8750,8750,8750,72
esowell,36,31,9,6.45,8680,8680,8680,8680,70.5
esowell,30,26,12,8.19,10710,10710,10850,10710,65
esowell,36,27,10,6.55,8540,8540,8540,8540,70
esowell,37,30,9,7.17,8050,8120,8120,8120,67.5
esowell,32,27,13,7.33,8330,8470,8470,8330,67
esowell,36,30,11,16.97,9380,9450,9450,9380,71.5
esowell,40,32,10,11.56,8540,8680,8680,8750,69.5
esowell,33,27,9,7.94,8890,9100,8960,8960,71
esowell,38,29,9,7.69,9870,10080,9870,10080,70
esowell,36,27,9,11.49,9450,9450,9450,9590,70.5
esowell,34,24,13,32.85,12460,12460,12460,12460,68
esowell,39,28,10,10.61,8540,8680,8540,8540,65.5
esowell,34,26,10,6.03,9170,9170,9170,9170,69.5
esowell,36,29,9,6.46,7840,7910,7910,7840,69.5
esowell,37,30,11,7.75,9310,9310,9310,9310,66
esowell,44,38,14,20.43,9310,9310,9310,9310,79.5
esowell,36,27,10,7.02,9100,8960,8960,8960,68.5
esowell,40,32,10,8.15,8680,8680,8680,8680,68
esowell,38,30,10,7.64,8750,8680,8750,8750,68
esowell,37,25,13,7.09,8750,8680,8680,8680,55.5
esowell,38,29,10,7.03,9170,9310,9170,9310,65.5
esowell,39,30,11,8.52,8120,8120,8050,8050,68.5
esowell,35,30,9,7.23,9170,9170,9170,9170,68
esowell,41,31,10,7.15,8470,8470,8470,8330,66.5
esowell,37,29,10,6.63,8680,8680,8680,8680,67
esowell,37,27,9,8.69,9450,9450,9380,9450,66
esowell,42,32,15,7.84,9450,8750,9450,8890,66
esowell,39,31,9,9.51,8960,8960,8960,8960,69
esowell,37,27,10,6.76,7630,7630,7630,7700,68
esowell,40,31,11,8.15,9380,9450,9380,9450,71.5
esowell,31,25,0,11.76,-2147483648,-2147483648,-2147483648,-2147483648,67.5
esowell,43,31,16,7.99,10010,10010,10010,9870,67.5
esowell,34,28,11,11.84,10710,10640,10710,10710,71
esowell,39,27,9,6.48,7910,7910,7910,7840,65
esowell,37,32,10,10.08,9100,9310,9100,9100,70.5
esowell,47,35,14,6.66,6720,6790,6720,6790,69.5
esowell,39,31,12,15.77,9170,9170,9170,9170,71.5
esowell,42,33,10,7.08,7630,7630,7700,7700,67.5
esowell,35,28,9,7.38,8680,8680,8680,8680,71
esowell,36,29,9,8.78,9870,10010,9870,10010,73.5
esowell,33,26,0,7.98,0,0,0,0,69
esowell,36,28,11,7.63,9450,9450,9450,9380,68
esowell,63,52,11,9.81,6160,6160,6160,6090,98
esowell,35,25,11,9.26,10500,10500,10500,10500,69.5
esowell,38,31,9,26.77,10220,10220,10290,10220,83.5
esowell,51,36,10,9.16,8890,8960,8960,8890,91
esowell,39,28,11,7.43,8750,8750,8680,8750,68
esowell,34,29,10,6.69,9310,9170,9170,9170,67.5
esowell,42,40,11,17.91,8120,8260,8120,8260,71
esowell,38,26,9,6.21,9170,9170,9170,9170,69.5
esowell,33,31,9,8.25,8960,8890,8960,8960,65.5
esowell,41,34,16,6.46,10010,10010,10010,9870,68.5
esowell,32,19,0,5.64,-2147483648,-2147483648,-2147483648,-2147483648,55.5
esowell,32,22,9,8.54,8540,8540,8540,8680,55.5
esowell,38,32,11,6.55,9310,9380,9380,9310,66.5
esowell,44,34,12,23.7,8680,8540,8540,8540,77
esowell,42,33,9,24.36,8750,8680,8680,8680,80.5
esowell,38,30,9,14.21,8890,9170,8960,8890,74.5
esowell,49,35,9,14.22,5530,5530,5670,5670,70.5
esowell,47,39,13,25.18,7840,7910,7910,7910,82
esowell,40,31,10,23.59,8470,8470,8540,8540,76
esowell,40,37,13,30.54,11060,10920,10920,10920,79.5
esowell,38,30,9,6.8,9170,9170,9310,9170,69.5
esowell,38,31,10,24.02,8960,8960,8960,9170,79.5
esowell,34,25,10,4.88,8960,8960,8890,9170,67.5
esowell,35,27,0,8.19,-2147483648,-2147483648,-2147483648,-2147483648,68
esowell,55,44,14,23.72,6720,6580,6930,6720,82
esowell,36,37,9,31.11,9170,9170,9170,9170,80
esowell,42,36,10,25.08,8470,8330,8330,8330,76
esowell,37,31,11,25.93,10710,10710,10710,10710,76.5
esowell,35,30,10,28.05,10500,10430,10430,10500,76.5
esowell,51,37,9,7.51,5670,5880,5530,5740,67.5
esowell,34,27,10,10.52,9450,9450,9450,9450,67
esowell,42,32,12,6.62,9380,9380,9380,9380,69.5
esowell,45,35,9,7.28,5880,5670,5880,5670,68
esowell,43,33,14,6.73,6720,6790,6720,6790,69.5
esowell,40,32,9,24.04,8540,8540,8540,8680,74
esowell,30,20,0,4.86,0,0,0,0,56
esowell,45,34,10,34.5,8120,8260,8260,8120,77.5
esowell,47,39,11,22.68,6160,6160,6160,6160,79
esowell,43,35,11,29.29,8120,8120,8120,8120,77.5
esowell,38,32,10,25.74,8120,8680,8260,8680,79
esowell,40,35,10,12.43,7490,7490,7490,7490,67
esowell,66,46,13,24.76,6790,6720,6720,6790,78
esowell,40,29,9,7.9,9310,9170,9170,9170,69.5
esowell,35,28,9,16.47,9870,10010,10010,10010,77
esowell,36,30,14,6.55,10920,10850,10920,10920,65
esowell,39,29,11,6.85,9380,9380,9450,9380,68.5
esowell,38,30,14,12.05,9310,9310,9310,9310,71
esowell,35,25,12,8.67,8540,8540,8540,8540,65
esowell,45,35,11,17.31,6160,6160,6160,6160,68.5
esowell,32,30,14,8.07,12040,12040,12040,12040,72.5
esowell,36,28,10,7.16,9310,9170,9380,9100,70
esowell,43,36,17,6.27,8680,8750,8750,8750,70.5
esowell,32,24,9,11.33,11970,11970,11830,11970,70
