JobID,user,submitTime,startTime
755293,akitazum,Sat Apr 20 18:42:29 CDT 2019,Sat Apr 20 19:02:06 CDT 2019
755294,akitazum,Sat Apr 20 18:42:29 CDT 2019,Sat Apr 20 19:02:06 CDT 2019
755295,akitazum,Sat Apr 20 18:42:29 CDT 2019,Sat Apr 20 19:02:06 CDT 2019
755296,akitazum,Sat Apr 20 18:42:29 CDT 2019,Sat Apr 20 19:02:06 CDT 2019
755297,akitazum,Sat Apr 20 18:42:29 CDT 2019,Sat Apr 20 19:02:06 CDT 2019
755298,akitazum,Sat Apr 20 18:42:29 CDT 2019,Sat Apr 20 19:02:07 CDT 2019
755299,akitazum,Sat Apr 20 18:42:29 CDT 2019,Sat Apr 20 19:02:07 CDT 2019
755300,akitazum,Sat Apr 20 18:42:30 CDT 2019,Sat Apr 20 19:02:07 CDT 2019
755301,akitazum,Sat Apr 20 18:42:30 CDT 2019,Sat Apr 20 19:02:07 CDT 2019
755302,akitazum,Sat Apr 20 18:42:30 CDT 2019,Sat Apr 20 19:02:07 CDT 2019
755303,akitazum,Sat Apr 20 18:42:30 CDT 2019,Sat Apr 20 19:02:07 CDT 2019
754280,sabaty,Thu Apr 18 09:33:01 CDT 2019,Thu Apr 18 09:40:38 CDT 2019
755305,akitazum,Sat Apr 20 18:42:30 CDT 2019,Sat Apr 20 19:02:07 CDT 2019
755306,akitazum,Sat Apr 20 18:42:30 CDT 2019,Sat Apr 20 19:05:18 CDT 2019
755307,akitazum,Sat Apr 20 18:42:30 CDT 2019,Sat Apr 20 19:05:19 CDT 2019
755308,akitazum,Sat Apr 20 18:42:30 CDT 2019,Sat Apr 20 19:35:04 CDT 2019
755309,akitazum,Sat Apr 20 18:42:31 CDT 2019,Sat Apr 20 19:36:48 CDT 2019
755310,akitazum,Sat Apr 20 18:42:31 CDT 2019,Sat Apr 20 19:36:48 CDT 2019
755311,akitazum,Sat Apr 20 18:42:31 CDT 2019,Sat Apr 20 19:36:48 CDT 2019
755312,akitazum,Sat Apr 20 18:42:31 CDT 2019,Sat Apr 20 19:36:48 CDT 2019
755304,akitazum,Sat Apr 20 18:42:30 CDT 2019,Sat Apr 20 19:02:07 CDT 2019
755314,akitazum,Sat Apr 20 18:42:31 CDT 2019,Sat Apr 20 19:36:48 CDT 2019
755315,akitazum,Sat Apr 20 18:42:31 CDT 2019,Sat Apr 20 19:36:48 CDT 2019
755316,akitazum,Sat Apr 20 18:42:31 CDT 2019,Sat Apr 20 19:36:48 CDT 2019
755317,akitazum,Sat Apr 20 18:42:31 CDT 2019,Sat Apr 20 19:36:49 CDT 2019
755318,akitazum,Sat Apr 20 18:42:32 CDT 2019,Sat Apr 20 19:36:49 CDT 2019
755319,akitazum,Sat Apr 20 18:42:32 CDT 2019,Sat Apr 20 19:47:50 CDT 2019
755320,akitazum,Sat Apr 20 18:42:32 CDT 2019,Sat Apr 20 19:47:50 CDT 2019
755321,akitazum,Sat Apr 20 18:42:32 CDT 2019,Sat Apr 20 19:47:50 CDT 2019
755322,akitazum,Sat Apr 20 18:42:32 CDT 2019,Sat Apr 20 19:47:50 CDT 2019
755323,akitazum,Sat Apr 20 18:42:32 CDT 2019,Sat Apr 20 19:47:50 CDT 2019
755324,akitazum,Sat Apr 20 18:42:32 CDT 2019,Sat Apr 20 19:47:51 CDT 2019
755325,akitazum,Sat Apr 20 18:42:32 CDT 2019,Sat Apr 20 19:47:51 CDT 2019
755326,akitazum,Sat Apr 20 18:42:32 CDT 2019,Sat Apr 20 20:00:26 CDT 2019
755327,akitazum,Sat Apr 20 18:42:33 CDT 2019,Sat Apr 20 20:00:26 CDT 2019
755328,akitazum,Sat Apr 20 18:42:33 CDT 2019,Sat Apr 20 20:00:26 CDT 2019
755329,akitazum,Sat Apr 20 18:42:33 CDT 2019,Sat Apr 20 20:05:49 CDT 2019
755330,akitazum,Sat Apr 20 18:42:33 CDT 2019,Sat Apr 20 20:05:49 CDT 2019
755331,hge,Sat Apr 20 20:46:04 CDT 2019,Sat Apr 20 20:46:04 CDT 2019
755332,hge,Sat Apr 20 20:48:24 CDT 2019,Sat Apr 20 20:48:25 CDT 2019
755334,hge,Sat Apr 20 20:49:01 CDT 2019,Sat Apr 20 20:49:01 CDT 2019
755335,hge,Sat Apr 20 20:52:51 CDT 2019,Sat Apr 20 20:52:51 CDT 2019
754313,dsundara,Thu Apr 18 10:30:12 CDT 2019,Fri Apr 19 06:22:37 CDT 2019
755338,hge,Sat Apr 20 21:07:23 CDT 2019,Sat Apr 20 21:07:23 CDT 2019
755339,hge,Sat Apr 20 21:09:22 CDT 2019,Sat Apr 20 21:09:38 CDT 2019
755340,hge,Sat Apr 20 21:12:09 CDT 2019,Sat Apr 20 21:12:09 CDT 2019
755341,hge,Sat Apr 20 21:16:17 CDT 2019,Sat Apr 20 21:16:18 CDT 2019
755342,hge,Sat Apr 20 21:24:56 CDT 2019,Sat Apr 20 21:24:57 CDT 2019
755343,hge,Sat Apr 20 21:25:40 CDT 2019,Sat Apr 20 21:25:40 CDT 2019
755344,akitazum,Sat Apr 20 21:39:09 CDT 2019,Sat Apr 20 21:39:09 CDT 2019
755345,akitazum,Sat Apr 20 21:39:09 CDT 2019,Sat Apr 20 21:39:11 CDT 2019
755346,akitazum,Sat Apr 20 21:39:10 CDT 2019,Sat Apr 20 21:39:12 CDT 2019
755347,akitazum,Sat Apr 20 21:39:10 CDT 2019,Sat Apr 20 21:39:12 CDT 2019
755348,akitazum,Sat Apr 20 21:39:10 CDT 2019,Sat Apr 20 21:39:12 CDT 2019
755349,akitazum,Sat Apr 20 21:39:10 CDT 2019,Sat Apr 20 21:39:12 CDT 2019
754326,dsundara,Thu Apr 18 10:44:12 CDT 2019,Sat Apr 20 06:28:11 CDT 2019
755351,akitazum,Sat Apr 20 21:39:10 CDT 2019,Sat Apr 20 21:39:12 CDT 2019
755352,akitazum,Sat Apr 20 21:39:10 CDT 2019,Sat Apr 20 21:39:12 CDT 2019
