timestamp,192.168.13.108.443-CPU1TempTemperatureReading-TemperatureReading,192.168.13.108.443-CPU2TempTemperatureReading-TemperatureReading,192.168.13.108.443-CUPSSystemUsage-CPUUsage,192.168.13.108.443-CUPSSystemUsage-IOUsage,192.168.13.108.443-CUPSSystemUsage-MemoryUsage,192.168.13.108.443-CUPSSystemUsage-SystemUsage,192.168.13.108.443-Fan1RPMReading-RPMReading,192.168.13.108.443-Fan2RPMReading-RPMReading,192.168.13.108.443-Fan3RPMReading-RPMReading,192.168.13.108.443-Fan4RPMReading-RPMReading,192.168.13.108.443-Fan5RPMReading-RPMReading,192.168.13.108.443-Fan6RPMReading-RPMReading,192.168.13.108.443-DIMMSocketA1TemperatureReading-TemperatureReading,192.168.13.108.443-DIMMSocketA2TemperatureReading-TemperatureReading,192.168.13.108.443-DIMMSocketA3TemperatureReading-TemperatureReading,192.168.13.108.443-DIMMSocketA4TemperatureReading-TemperatureReading,192.168.13.108.443-DIMMSocketA5TemperatureReading-TemperatureReading,192.168.13.108.443-DIMMSocketA6TemperatureReading-TemperatureReading,192.168.13.108.443-PowerMetricsTotalStoragePower-SystemPowerConsumption,192.168.13.108.443-PowerMetricsTotalStoragePower-TotalCPUPower,192.168.13.108.443-PowerMetricsTotalStoragePower-TotalMemoryPower,192.168.13.108.443-ThermalTotalPSUHeatDissipation-PowerToCoolRatio,192.168.13.108.443-ThermalTotalPSUHeatDissipation-SysAirflowPerSysInputPower
2020-03-25T17:40:03.644000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:03.797000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:03.951000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:04.082000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:04.208000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:04.209000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:04.400000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:04.401000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:04.523000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:04.682000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:04.932000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:05.149000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:05.582000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:05.719000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:05.838000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:05.963000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:06.096000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:06.237000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:06.373000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:06.502000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:06.640000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:06.641000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:06.762000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:06.864000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:06.972000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
